시설명,주소,운영기간,전화번호,참여방법
판교공원 유아숲체험원,경기도 성남시 분당구 판교동 553번지,2025-03~2025-11,031-729-4303,전화/홈페이지
위례공원 유아숲체험원,경기도 성남시 수정구 창곡동 578,2025-03~2025-11,031-729-4303,전화/홈페이지
산성공원 유아숲체험원,경기도 성남시 중원구 은행2동 77번지,2025-03~2025-11,031-729-4303,전화/홈페이지
잣향기푸른숲 유아숲체험원,경기도 가평군 상면 축령로 289-146,2025-03~2025-11,031-8008-6767,전화
성주산둥지 유아숲체험원,경기도 부천시 소사본동 산87-3,2025-03~2025-11,032-625-3577,전화
산울림 유아숲체험원,경기도 부천시 춘의동 349,2025-03~2025-11,032-625-3577,홈페이지
튼튼유아숲체험원,경기도 부천시 춘의동 산80번지 ,2025-03~2025-11,032-625-3501,홈페이지
별똥별 유아숲체험원,경기도 남양주시 별내동 1062,2025-03~2025-11,031-590-4747,전화
별내 유아숲체험원,경기도 남양주시 별내동 1062,2025-03~2025-11,031-590-4747,전화
물맑은 유아숲체험원,경기도 남양주시 수동면 지둔리 산129,2025-03~2025-11,031-590-4747,전화/방문
다산 유아숲체험원,경기도 남양주시 조안면 능내리 31-1,2025-03~2025-11,031-590-4747,전화
황금산 유아숲체험원,경기도 남양주시 지금동 719번지,2025-03~2025-11,031-590-4747,전화
진접유아숲체험원,경기도 남양주시 진접읍 금곡리 1077,2025-03~2025-11,031-590-4747,전화
평내 유아숲체험원,경기도 남양주시 평내동 560,2025-03~2025-11,031-590-4747,전화/방문
금배 유아숲체험원,경기도 남양주시 호평동 620,2025-03~2025-11,031-590-4747,전화
진영공원 유아숲체험원,경기도 남양주시 화도읍 마석우리 551,2025-03~2025-11,031-590-4747,전화
솔터힐링유 아숲체험원,경기도 김포시 마산동 642-13,2025-03~2025-11,031-980-5987,전화
양곡행복 유아숲체험원,경기도 김포시 양곡로 413,2025-03~2025-11,031-980-5987,전화
모담산 유아숲체험원,경기도 김포시 운양동 1325-1,2025-03~2025-11,031-980-5987,전화
초당 유아숲체험원,경기도 김포시 장기동 1595,2025-03~2025-11,031-980-5987,전화/방문
금빛 유아숲체험원,경기도 김포시 장기동 2200,2025-03~2025-11,031-980-5987,전화
통진 유아숲체험원,경기도 김포시 통진읍 마송리 501,2025-03~2025-11,031-980-5987,전화
풀무골 유아숲체험원,경기도 김포시 풍무동 780,2025-03~2025-11,031-980-5987,전화
초막골 유아숲체험원,경기도 군포시 산본동 산167,2025-03~2025-11,031-390-4042,전화
경안유아숲체험원,경기도 광주시 경안동 168번지,2025-03~2025-11,031-760-4874,전화
팔당물안개 유아숲체험원,경기도 광주시 남종면 귀여리 596번지,2025-03~2025-11,031-760-4874,전화
도덕산 유아숲체험원,경기도 광명시 광명동 317-80,2025-03~2025-11,02-2680-2339,전화
광명시 유아숲체험원,경기도 광명시 하안동 산141-7번지,2025-03~2025-11,02-2680-2339,전화
과천문원 유아숲체험원,경기도 과천시 문원동 산57-1번지,2025-03~2025-11,02-3677-2343,전화
숲의약속 유아숲체험원,경기도 가평군 상면 행현리 922-15,2025-03~2025-11,031-580-2487,전화
하남 유아숲체험원,경기도 하남시 망월동 788번지,2025-03~2025-12,031-790-5145,홈페이지
구봉산 유아숲체험원,경기도 화성시 병정동 865,2025-04~2025-11,031-5189-2344,전화/방문
동탄호수공원 유아숲체험원,경기도 화성시 송동 727,2025-04~2025-11,031-5189-2344,전화/방문
선남숲 유아숲체험원,경기도 화성시 영천동 897,2025-04~2025-11,031-5189-2344,전화/방문
덕동산 유아숲체험원,경기도 평택시 비전동 산84-14,2025-04~2025-11,031-8024-4246,전화
학현 유아숲체험원,경기도 평택시 안중읍 학현리 산88,2025-04~2025-11,031-8024-4246,전화
부락산 유아숲체험원,경기도 평택시 지산동 산137,2025-04~2025-11,031-8024-4246,전화
소요별앤숲 유아숲체험원,경기도 동두천시 상봉암동 산18,2025-04~2025-11,031-860-3234,전화
동두천 유아숲체험원,경기도 동두천시 탑동동 산16번지,2025-04~2025-11,031-860-3234,전화
안양유아숲체험원 ,경기도 안양시 동안구 관양동 1776-5,2025-04~2025-12,031-8045-5489,전화/홈페이지
정발산 유아숲체험원,경기도 고양시 일산동구 마두동 819,2025-04~2025-12,031-8075-4368,전화
안곡습지공원 유아숲체험원,경기도 고양시 일산동구 중산동 1712,2025-04~2025-12,031-8075-4368,전화
성라공원 유아숲체험원,경기도 고양시 덕양구 성사동 267,2025-04~2025-12,031-8075-4368,전화
강릉솔향수목원유아숲체험원,강원특별자치도 강릉시 구정면 구정리 산141,2025-03~2025-11,033-660-2322,홈페이지
소똥령 유아숲체험원 ,강원특별자치도 고성군 간성읍 장신리 산150,2025-03~2025-12,033-680-3382,홈페이지
해오름 유아숲체험원,강원특별자치도 동해시 천곡동 산170-1,2025-03~2025-11,033-539-8781,전화
봉황산유아숲체험원,강원특별자치도 삼척시 정상동 산38-1,2025-03~2025-11,033-575-2019,전화
양구수목원 유아숲체험원,강원특별자치도 양구군 동면 원당리 181,2025-03~2025-12,033-480-2530,"홈페이지, 전화"
꿈내린 유아숲체험원,강원특별자치도 영월군 영월읍 삼옥리 산57,2025-03~2025-11,033-370-2504,전화
피노키오 유아숲체험원,강원특별자치도 원주시 신림면 황둔리 924,2025-04~2025-12,033-764-5588,"홈페이지, 전화"
신월동산 유아숲체험원,강원특별자치도 정선군 정선읍 봉양3길 21,2025-04~2025-11,033-560-2252,전화/방문/공문
두루웰 유아숲체험원,강원특별자치도 철원군 갈말읍 지경리 산5,2025-03~2025-11,033-458-5197,전화
하늘땅 유아숲체험원,강원특별자치도 철원군 동송읍 이평리 산114,2025-03~2025-11,033-458-5197,전화
삼천 유아숲체험원,강원특별자치도 춘천시 삼천동 217-6,2025-04~2025-12,033-250-4116,홈페이지
똑똑 유아숲체험원,강원특별자치도 춘천시 서면 오월리 산46-1,2025-03~2025-11,033-248-6602,홈페이지
서면 유아숲체험원,강원특별자치도 춘천시 서면 현암리 880,2025-03~2025-11,033-250-4116,홈페이지
반딧불 유아숲체험원,강원특별자치도 홍천군 북방면 생태공원길 319,2025-03~2025-11,033-433-1994,"이메일, 우편, 전화, 방문"
남산 유아숲체험원,강원특별자치도 홍천군 홍천읍 연봉리 산9-1,2025-03~2025-11,033-430-2792,전화 
횡성 유아숲체험원,강원특별자치도 횡성군 횡성읍 읍하리 40,2025-03~2025-11,033-340-2473,전화 
대청공원 유아숲체험원,대전광역시 대덕구 미호동 43,2025-03~2025-12,042-608-5573,전화/이메일
가오 유아숲체험원,대전광역시 동구 대성로 132,2025-03~2025-11,042-251-4773,전화/방문
상소 유아숲체험원,대전광역시 동구 상소동 산1-1,2025-03~2025-11,042-251-4773,전화/방문
만인산 유아숲체험원,대전광역시 동구 하소동 산47,2025-03~2025-12,042-270-8654,전화/방문/공문
도안 유아숲체험원,대전광역시 서구 가수원동 839,2025-03~2025-11,042-288-3645,전화/홈페이지
도솔 유아숲체험원,대전광역시 서구 도마동 산27-1,2025-03~2025-11,042-288-3645,전화/홈페이지
남선 유아숲체험원,대전광역시 서구 탄방동 1084,2025-03~2025-11,042-288-3653,전화/방문/공문
노루벌적십자생태원 유아숲체험원,대전광역시 서구 흑석동 산95-1,2025-03~2025-12,042-288-3522,전화/방문/공문
학의숲 유아숲체험원,대전광역시 유성구 계산동 산19-1,2025-03~2025-11,042-611-2786,전화/홈페이지
상대 유아숲체험원,대전광역시 유성구 상대동 458-2,2025-03~2025-11,042-611-2786,전화/홈페이지
은구비 유아숲체험원,대전광역시 유성구 지족동 920,2025-03~2025-11,042-611-2786,전화/홈페이지
청벽산 유아숲체험원,대전광역시 유성구 탑립동 712,2025-03~2025-11,042-611-2786,전화
사정 유아숲체험원,대전광역시 중구 사정동 산2-1,2025-03~2025-11,042-270-7865,전화
무궁화 유아숲체험원,세종특별자치시 연기면 세종리 643-5,연중,044-868-4192,공문/홈페이지
파랑새 유아숲체험원,세종특별자치시 연기면 세종리 734-1,연중,044-868-4192,공문/홈페이지
성불산 유아숲체험원,충청북도 괴산군 괴산읍 검승리 산28-11,2025-03~2025-11,043-830-2676,전화
소선암 유아숲체험원,충청북도 단양군 단성면 대잠리 산63,2025-03~2025-11,043-420-2786,전화/방문
매화공원 유아숲체험원,충청북도 단양군 매포읍 평동리 산79,2025-03~2025-11,043-420-2786,전화/방문
큰산 유아숲체험원,충청북도 음성군 원남면 하당리 산76-1,2025-03~2025-12,043-871-3763,전화
제천 유아숲체험원,충청북도 제천시 하소동 277-1,2025-03~2025-11,043-641-6537,전화
별천지 유아숲체험원,충청북도 증평군 증평읍 율리 810,2025-03~2025-11,043-835-4503,전화/홈페이지
생거진천 유아숲체험원,충청북도 진천군 백곡면 명암리 산34-1,2025-03~2025-12,043-539-3554,전화/방문
미동산 유아숲체험원,충청북도 청주시 상당구 미원면 수목원길 51,2025-03~2025-10,043-220-6172,홈페이지
옥화 유아숲체험원,충청북도 청주시 상당구 미원면 운암옥화길 140,2025-03~2025-12,043-201-2343,전화/홈페이지
솔받모험의숲 유아숲체험원,충청북도 청주시 흥덕구 송정동 산8-4,2025-03~2025-12,043-201-4447,전화/홈페이지
문성 유아숲체험원,충청북도 충주시 노은면 문성리 산67-9,2025-03~2025-11,043-870-7918,전화/홈페이지
동심 유아숲체험원,충청남도 공주시 신풍면 영정리 산38번지,연중,,전화
숲자연놀이학교 유아숲체험원,충청남도 아산시 도고면 신통리 산46-1,연중,041-541-2446,공문
용봉산 유아숲체험원,충청남도 홍성군 홍북읍 신경리 1717,2025-03~2025-10,041-630-1391,전화/방문/공문
향적산 유아숲체험원,충청남도 계룡시 엄사면 향한리 658번지,2025-03~2025-11,042-840-2673,전화/방문/공문
비호산 유아숲체험원,충청남도 금산군 금산읍 상리 산3-6,2025-03~2025-11,041-750-3433,공문/전화/방문
문수산 유아숲체험원,충청남도 서천군 종천면 종천리 13번지,2025-03~2025-11,041-950-4619,전화
둔포중앙 유아숲체험원,충청남도 아산시 둔포면 석곡리 1481번지,2025-03~2025-11,041-536-8637,홈페이지
배방지산 유아숲체험원,충청남도 아산시 배방읍 장재리 1351,2025-03~2025-11,041-536-8637,전화
월랑 유아숲체험원,충청남도 아산시 음봉면 월랑리 703,2025-03~2025-11,041-536-8637,전화
예산황새공원 유아숲체험원,충청남도 예산군 광시면 시목대리길 62-19,2025-03~2025-11,041-339-8272,전화
봉수산 유아숲체험원,충청남도 예산군 대흥면 상중리 470-1,2025-03~2025-11,041-339-8937,전화
태조산 유아숲체험원,충청남도 천안시 동남구 유량동 산25-1,2025-03~2025-11,041-521-5534,홈페이지
청당2공원 유아숲체험원,충청남도 천안시 동남구 청당동 546,2025-03~2025-11,041-529-5530,전화
불당동유적공원 유아숲체험원,충청남도 천안시 서북구 불당동 815,2025-03~2025-11,041-529-5530,전화
안면도수목원 유아숲체험원,충청남도 태안군 안면읍 승언리 산31-1,2025-03~2025-11,041-635-7264,전화
삼선산 유아숲체험원,충청남도 당진시 고대면 진관리 산128-16,2025-04~2025-10,041-350-4201,홈페이지(배움나루)
계림공원 유아숲체험원,충청남도 당진시 수청동 848-1,2025-04~2025-10,041-350-4201,홈페이지(배움나루)
공주산림휴양마을 유아숲체험원,충청남도 공주시 금학동 산54-2,2025-04~2025-11,041-840-2572,전화
느티골 유아숲체험원,충청남도 금산군 남이면 건천리 산166,2025-04~2025-11,041-750-3433,공문/전화/방문
양촌 유아숲체험원,충청남도 논산시 양촌면 매죽헌로 1723번길 176-23,2025-04~2025-11,041-746-6152,전화/방문
권곡 유아숲체험원,충청남도 아산시 권곡동 448-1,2025-03~2025-11,041-536-8637,전화/홈페이지
남산 유아숲체험원,충청남도 아산시 방축동 5,2025-03~2025-11,041-536-8637,전화/홈페이지
태학산 유아숲체험원,충청남도 천안시 동남구 풍세면 삼태리 산28-1,2025-04~2025-11,041-529-5530,홈페이지/방문
부춘산 유아숲체험원,충청남도 서산시 읍내동 산5-1,2025-04~2025-11,041-660-2119,전화/이메일
봉암공원 유아숲체험원,충청남도 당진시 대덕동 1881,2025-04~2025-10,041-350-4201,홈페이지(배움나루)
성연 유아숲체험원,충청남도 서산시 성연면 왕정리 711,2025-03~2025-11,041-660-2119,전화/이메일
영인산 유아숲체험원,충청남도 아산시 영인면 아산리 58-31번지,2025-03~2025-11,041-536-8637,전화/홈페이지
백화산 유아숲체험원,충청남도 태안군 태안읍 동문리 23-19번지,2025-03~2025-12,041-670-2831,전화
명지근린공원 유아숲체험원,부산광역시 강서구 명지동 3247,2025-03~2025-12,051-970-4521,전화
금정산 유아숲체험원,부산광역시 금정구 구서동 산7-1,2025-03~2025-12,051-519-4711,전화
개금테마공원 유아숲체험원,부산광역시 부산진구 개금동 56,2025-03~2025-11,051-605-4546,전화/홈페이지
대천천 유아숲체험원,부산광역시 북구 화명동 산43-14,2025-03~2025-11,051-309-4542,전화
사상근린공원 숲속모험놀이장 유아숲체험원,부산광역시 사상구 감전동 38,2025-03~2025-11,051-310-4542,전화/홈페이지
모라 유아숲체험원,부산광역시 사상구 모라동 산33,2025-03~2025-11,051-310-4542,전화/홈페이지
구덕산 유아숲체험원,부산광역시 서구 서대신동3가 산12-15,2025-03~2025-11,051-240-3526,전화
엄광산 유아숲체험원,부산광역시 서구 서대신동3가 산60-4,2025-03~2025-11,051-240-3526,전화
천마산 유아숲체험원,부산광역시 서구 암남동 산4-26,2025-03~2025-11,051-240-3526,전화
백양산 유아숲체험원,부산광역시 북구 만덕동 산147-1,2025-03~2025-11,051-309-4544,전화
무학산 유아숲체험원,대구광역시 수성구 황금동 산110-4번지,2025-03~2025-12,053-666-2806,전화/홈페이지(정기분)
앞산고산골 유아숲체험원,대구광역시 남구 봉덕동 산155-1,2025-03~2025-11,053-803-7456,전화/방문
두류공원 유아숲체험원,대구광역시 달서구 두류동 산309-2,2025-03~2025-11,053-803-7521,전화/방문
달서별빛 유아숲체험원,대구광역시 달서구 송현동 산56,2025-04~2025-11,053-667-3752,전화/홈페이지
와룡 유아숲체험원,대구광역시 달서구 용산동 505-2,25년 미운영,053-667-3752,25년 미운영
화원명곡숲 유아숲체험원,대구광역시 달성군 화원읍 명곡리 323,2025-03~2025-11,053-668-8264,전화
화원자연휴양림 유아숲체험원,대구광역시 달성군 화원읍 본리리 산129,2025-03~2025-11,053-668-8264,전화
수성대흥동 유아숲체험원,대구광역시 수성구 대흥동 608,2025-03~2025-11,053-666-2806,전화/홈페이지(정기분)
연암공원 유아숲체험원,대구광역시 북구 산격동 산63-3,2025-03~2025-11,053-665-4143,전화
한실 유아숲체험원,대구광역시 달서구 대곡동 1088,2025-03~2025-11,053-667-3752,전화
함월 유아숲체험원,울산광역시 중구 성안동 산120,2025-03~2025-11,052-708-2836,전화/홈페이지
남산 유아숲체험원,울산광역시 남구 무거동 산86,2025-03~2025-11,052-226-5891,전화/홈페이지
입화산 유아숲체험원,울산광역시 중구 다운동 3-3,2025-03~2025-11,052-708-2835,전화/홈페이지
수피조아 유아숲체험원,경상북도 울진군 울진읍 읍남리 산76-2,2025-03~2025-12,054-781-5809,전화
성암산우리들 유아숲체험원,경상북도 경산시 옥산동 산45-4,2025-03~2025-11,0507-1495-4104,홈페이지
삼성현 유아숲체험원,경상북도 경산시 남산면 인흥리 250,2025-03~2025-12,053-810-5222,홈페이지
비호동산 유아숲체험원,경상북도 경산시 진량읍 내리리 산13-1,2025-03~2025-12,053-810-5222,홈페이지
화랑 유아숲체험원,경상북도 경주시 통일로 367,2025-03~2025-11,054-778-3840,"전화, 홈페이지"
에코랜드 유아숲체험원,경상북도 구미시 산동면 인덕리 산5-1,2025-04~2025-11,054-480-5887,홈페이지
꿈을담은 유아숲체험원,경상북도 구미시 산동읍 신당리 산81-1,2025-03~2025-11,054-480-5887,전화
옥성자연휴양림 유아숲체험원,경상북도 구미시 옥성면 휴양림길 150,2025-04~2025-11,054-480-5887,홈페이지
천생산성 유아숲체험원,경상북도 구미시 인의동 산26,2025-04~2025-11,054-480-5890,홈페이지
불정 유아숲체험원,경상북도 문경시 불정동 산71-1,2025-03~2025-12,054-550-6317,전화/방문
봉화 유아숲체험원,경상북도 봉화군 봉화읍 유곡리 산127-1,2025-03~2025-11,054-679-6269,전화
계명산 유아숲체험원,경상북도 안동시 길안면 고란리 산11-1,25년 미운영,054-840-5365,25년 미운영
강남동 유아숲체험원,경상북도 안동시 정하동 258-1,2025-03~2025-11,054-840-5365,전화/홈페이지
천년숲 유아숲체험원,경상북도 안동시 풍천면 갈전리 1657,2025-03~2025-11,054-840-5365,전화/홈페이지
너랑나랑 유아숲체험원,경상북도 영주시 아지동 산17,2025-03~2025-11,054-634-3104,"정규형 : 이메일 , 수시형 : 전화/홈페이지"
범우리공원 유아숲체험원,경상북도 예천군 호명면 산합리 1396,2025-03~2025-11,054-650-6328,전화/홈페이지
구봉산 유아숲체험원,경상북도 의성군 의성읍 원당리 산1-1,2025-03~2025-11,054-830-6316,전화/홈페이지
청송장난끼 유아숲체험원,경상북도 청송군 부남면 대전리 산69-1,2025-03~2025-12,054-870-6322,전화/홈페이지
청송신기리 유아숲체험원,경상북도 청송군 파천면 신기리 459,25년 미운영,054-870-6322,25년 미운영
호이 유아숲체험원,경상북도 칠곡군 기산면 봉산리 산159,2025-03~2025-12,054-979-6605,방문/전화
송정 유아숲체험원,경상북도 칠곡군 석적읍 반계리 산9-1,2025-03~2025-12,054-979-6605,방문/전화
운제산 유아숲체험원,경상북도 포항시 남구 대송면 대각리 산105,2025-03~2025-11,054-270-3822,이메일
송도솔밭 유아숲체험원,경상북도 포항시 남구 송도동 254-100,2025-03~2025-11,054-270-3822,이메일
경상북도수목원 유아숲체험원,경상북도 포항시 북구 죽장면 수목원로 647,2025-03~2025-11,054-260-6162,전화/홈페이지
도음산 유아숲체험원,경상북도 포항시 북구 흥해읍 학천리 산32-1,2025-03~2025-11,054-270-3822,이메일
꿈마당 유아숲체험원,경상남도 창원시 마산회원구 내서읍 평성리 산52-2,2025-01~2025-12,055-232-2346,전화/홈페이지
악양생태공원 유아숲체험원,경상남도 함안군 대산면 서촌리 1406-3,2025-03~2025-11,055-580-4572,메일/팩스
도릿골 유아숲체험원,경상남도 통영시 도천동 664-1,2025-03~2025-11,055-650-1432,전화
이순신공원 유아숲체험원,경상남도 통영시 정량동 659,2025-03~2025-11,055-650-1432,전화/방문
창원현동 유아숲체험원,경상남도 창원시 마산합포구 현동 1294,2025-03~2025-11,055-225-7104,전화/홈페이지/방문
쌀재 유아숲체험원,경상남도 창원시 마산회원구 내서읍 감천리 산196-1,2025-03~2025-11,055-225-7104,전화/홈페이지/방문
봉암 유아숲체험원,경상남도 창원시 마산회원구 봉암동 산1-12,2025-03~2025-11,055-225-7104,전화/홈페이지/방문
성산 유아숲체험원,경상남도 창원시 성산구 성주동 174-2,2025-03~2025-11,055-225-7104,전화/홈페이지/방문
달천 유아숲체험원,경상남도 창원시 의창구 북면 외감리 산159,2025-03~2025-11,055-225-7104,전화/홈페이지/방문
청안 유아숲체험원,경상남도 창원시 진해구 청안동 480,2025-03~2025-11,055-225-7104,전화/홈페이지/방문
창원편백치유의숲 유아숲체험원,경상남도 창원시 진해구 태백동 산52-125,2025-03~2025-11,055-225-7104,전화/홈페이지/방문
남산공원 유아숲체험원,경상남도 창녕군 창녕읍 술정리 산30-4,2025-03~2025-11,055-530-1665,전화
월아산우드랜드 유아숲체험원,경상남도 진주시 진성면 동산리 산134,2025-03~2025-11,055-746-3670,전화/홈페이지/방문
춘추 유아숲체험원,경상남도 양산시 교동 157-42,2025-03~2025-11,055-392-2894,전화/홈페이지(카페)
가촌 유아숲체험원,경상남도 양산시 물금읍 가촌리 1312-4,2025-03~2025-11,055-392-2894,전화/홈페이지(카페)
대운산생태숲 유아숲체험원,경상남도 양산시 용당동 산66-2,2025-03~2025-11,055-392-2893,전화/홈페이지(카페)
수양공원 유아숲체험원,경상남도 사천시 사천읍 선인리 607,2025-03~2025-11,055-831-3441,전화
망상공원 유아숲체험원,경상남도 사천시 선구동 26-1,2025-03~2025-11,055-831-3441,전화
각산편백 유아숲체험원,경상남도 사천시 실안동 산170-2,2025-03~2025-11,055-831-3441,전화
남해힐링숲타운 유아숲체험원,경상남도 남해군 삼동면 봉화리 산507-2,2025-03~2025-11,055-860-3656,전화
분성산 유아숲체험원,경상남도 김해시 삼계동 산44-1,2025-03~2025-11,055-350-6413,공고모집/전화/홈페이지
금병공원 유아숲체험원,경상남도 김해시 진영읍 여래리 288-1,2025-03~2025-11,055-350-6413,공고모집/전화/홈페이지
갈모봉 유아숲체험원,경상남도 고성군 고성읍 이당리 산146-1,2025-03~2025-11,055-670-2673,전화
독봉산 유아숲체험원,경상남도 거제시 상동동 산16-3,2025-03~2025-11,055-639-4354,전화/홈페이지(카페)
경상남도수목원 유아숲체험원,경상남도 진주시 이반성면 대천리 504,2025-03~2025-12,055-254-3865,전화/홈페이지/방문
소나무동산 유아숲체험원,경상남도 거제시 서상리 243-1,2025-03~2025-12,055-639-4354,전화/홈페이지(카페)
옥포아이드림 유아숲체험원,경상남도 거제시 옥포동 산1-1,2025-09~2025-12,055-639-4354,전화/홈페이지(카페)
함주공원 유아숲체험원,경상남도 함안군 가야읍 도항리 249-52,2025-03~2025-11,055-580-4556,메일/팩스
하모 유아숲체험원,경상남도 진주시 판문동 산180번지,연중,055-755-4560,전화/홈페이지
대운산 유아숲체험원,경상남도 양산시 용당동 산66,2025-03~2025-11,055-392-2893,전화/홈페이지(카페)
초전공원 유아숲체험원,경상남도 사천시 사남면 방지리 652,2025-03~2025-11,055-831-3441,전화
임호산 유아숲체험원,경상남도 김해시 외동 458-1,2025-03~2025-11,055-350-6413,공고모집/전화/홈페이지
모산 유아숲체험원,경상남도 김해시 율하4로 12,2025-03~2025-11,055-350-6413,공고모집/전화/홈페이지
무양공원 유아숲체험원,광주광역시 광산구 산월로 21번길 42,2025-03~2025-11,062-960-8679,전화/팩스/이메일
생태공원 유아숲체험원,광주광역시 광산구 신창로105번길 23-17,2025-03~2025-11,062-960-8679,전화/팩스/이메일
원당산근린공원 유아숲체험원,광주광역시 광산구 장덕로 96번길 15,2025-03~2025-11,062-960-8679,전화/팩스/이메일
경암근린공원 유아숲체험원,광주광역시 광산구 하남대로 54번안길 133,2025-03~2025-11,062-960-8679,전화/팩스/이메일
풀빛공원 유아숲체험원,광주광역시 남구 노대동 727,2025-03~2025-11,062-607-3843,전화/팩스/이메일
제봉산마법의 숲체험원,광주광역시 남구 압촌동 14,2025-03~2025-11,062-607-3843,전화/팩스/이메일
영산강대상근린공원 유아숲체험원,광주광역시 북구 동림동 141-1번지,2025-03~2025-11,062-410-6448,전화/팩스/이메일
문화근린공원 유아숲체험원,광주광역시 북구 문흥동 1009-1,2025-03~2025-11,062-410-6448,전화/팩스/이메일
유적근린공원 유아숲체험원,광주광역시 서구 동천동 660,2025-03~2025-11,062-360-7610,전화/팩스/이메일
팔학산 유아숲체험원,광주광역시 서구 서창동 산59,2025-03~2025-11,062-360-7610,전화/팩스/이메일
금당산 유아숲체험원,광주광역시 서구 풍암동 산95-45,2025-03~2025-11,062-360-7610,전화/팩스/이메일
두만숲속학교 유아숲체험원,전북특별자치도 임실군 임실읍 두만리 산92,미운영,063-642-0962,미운영
모악산 유아숲체험원,전북특별자치도 전주시 완산구 독배길 14-12,2025-03~2025-12,063-229-1000,전화
백두대간 유아숲체험원,전북특별자치도 남원시 운봉읍 주촌리 산55-1,2025-03~2025-11,063-620-6447,전화/팩스/우편
서림공원 유아숲체험원,전북특별자치도 부안군 부안읍 서외리 산1-1,2025-03~2025-11,063-580-4642,전화
대아수목원 유아숲체험원,전북특별자치도 완주군 동상면 대아수목로 94-34,2025-03~2025-11,063-243-1951,전화/팩스/홈페이지
야호건지 유아숲체험원,전북특별자치도 전주시 송천동 산1-1,2025-03~2025-11,063-281-2512,홈페이지/이메일
서곡 유아숲체험원,전북특별자치도 전주시 완산구 효자동3가 1580,2025-03~2025-11,063-281-2512,전화
진안 유아숲체험원,전북특별자치도 진안군 진안읍 단양리 599,2025-03~2025-11,063-430-2431,전화/방문
인후공원 유아숲체험원,전북특별자치도 전주시 덕진구 인후동 1가 산4-6,2025-03~2025-12,063-281-2512,홈페이지/이메일
야호혁신도시 유아숲체험원,전북특별자치도 전주시 덕진구 중동 834,2025-03~2025-12,063-281-2512,홈페이지/이메일
야호학산 유아숲 체험원,전북특별자치도 전주시 완산구 평화동2가 산81번지,2025-03~2025-12,063-281-2512,홈페이지/이메일
금마서동공원 유아숲체험원,전북특별자치도 익산시 금마면 동고도리 산112-20,2025-04~2025-11,063-859-5887,홈페이지
웅포곰돌이 유아숲체험원,전북특별자치도 익산시 웅포면 입점리 48-5,2025-04~2025-11,063-859-5887,홈페이지
정읍사공원 유아숲체험원,전북특별자치도 정읍시 시기동 산9,2025-04~2025-11,063-539-5774,전화/홈페이지
성산 유아숲체험원,전북특별자치도 김제시 교동 262-4,2025-03~2025-10,063-540-3577,이메일
무주반디 유아숲체험원,전북특별자치도 무주군 설천면 청량리 303,2025-04~2025-11,063-320-2464,홈페이지
바위백이 유아숲체험원,전북특별자치도 전주시 완산구 효자동3가 1858,2025-03~2025-12,063-281-2512,홈페이지/이메일
섬진강도깨비마을 유아숲체험원,전라남도 곡성군 고달면 호곡2길 119-99,2025-03~2025-11,061-363-2953,홈페이지
물무산행복숲 유아숲체험원,전라남도 영광군 영광읍 도동리 4-1,2025-01~2025-12,061-350-5779,방문/전화
곡성군청계동 유아숲체험원,전라남도 곡성군 곡성읍 신기리 1061-5,2025-02~2025-12,061-360-8337,공문
곡성군삼인동 유아숲체험원,전라남도 곡성군 곡성읍 학정리 산7-2,2025-02~2025-12,061-360-8337,공문
순천자연휴양림 유아숲체험원,전라남도 순천시 서면 운평리 산160,2025-03~2025-10,061-749-8950,이메일/팩스/공문
신대 유아숲체험원,전라남도 순천시 해룡면 신대리 2161,2025-03~2025-10,061-749-8950,이메일/팩스/공문
함평자연생태공원 유아숲체험원,전라남도 함평군 대동면 운교리 산211,2025-03~2025-10,061-320-2854,전화
보은산 유아숲체험원,전라남도 강진군 강진읍 남성리 242-2,2025-03~2025-11,061-430-3286,우편/팩스/공문
옥과미술관묵은숲 유아숲체험원,전라남도 곡성군 옥괴면 옥괴리 산10-3,2025-03~2025-11,061-360-8337,전화
빛가람 유아숲체험원,전라남도 나주시 빛가람동 346-1,2025-03~2025-11,061-339-7213,전화
전라남도 유아숲체험원,전라남도 나주시 산포면 산제리 542,2025-03~2025-11,061-338-4251,전화
한재골수목정원 유아숲체험원,전라남도 담양군 대전면 평장리 490-2,2025-03~2025-11,061-380-2942,전화/팩스
제암산 유아숲체험원,전라남도 보성군 웅치면 대산리 산113-1,2025-03~2025-11,061-850-8701,전화
운림 유아숲체험원,전라남도 진도군 의신면 사천리 563,2025-03~2025-11,061-540-3773,전화/방문
가학산자연휴양림 유아숲체험원,전라남도 해남군 계곡면 가학리 산1,2025-03~2025-11,061-535-4812~3,전화/팩스/홈페이지
양을산 유아숲체험원,전라남도 목포시 상동 산34-3,2025-03~2025-12,061-270-8178,방문/팩스
대죽도 유아숲체험원,전라남도 무안군 삼향읍 남악리 2296,2025-03~2025-12,061-450-5593,방문/우편/팩스/공문
여수미평산림욕장 유아숲체험원,전라남도 여수시 미평동 38번지,2025-03~2025-12,061-659-4613,방문/우편/팩스
사나래 유아숲체험원,전라남도 여수시 선원동 1329,2025-03~2025-12,061-659-4613,방문/우편/팩스
여수가사리생태 유아숲체험원,전라남도 여수시 소라면 현천리 979,2025-03~2025-12,061-659-4613,방문/우편/팩스
미암생태숲 유아숲체험원,전라남도 영암군 미암면 미암리 산48-1,2025-03~2025-12,061-470-2423,전화
